,longName,open,previousClose,dayLow,dayHigh,regularMarketOpen,regularMarketPreviousClose,regularMarketDayLow,regularMarketDayHigh,Diferencia
73,Birkenstock Holding plc,46.06,45.87,45.31,46.155,46.06,45.87,45.31,46.155,1.9402070603929125
74,"BJ's Wholesale Club Holdings, Inc.",77.98,77.81,77.13,78.66,77.98,77.81,77.13,78.66,1.4780750199268928
75,"Blackbaud, Inc.",70.81,71.06,70.69,71.99,70.81,71.06,70.69,71.99,1.5912646267253892
76,"BlackLine, Inc.",63.63,64.28,63.135,64.675,63.63,64.28,63.135,64.675,1.8238657020297446
77,"Block, Inc.",78.71,79.32,78.21,81.82,78.71,79.32,78.21,81.82,2.3334626963016074
78,Blueprint Medicines Corporation,87.12,87.97,84.81,89.53,87.12,87.97,84.81,89.53,2.7380514333370645
79,BOK Financial Corporation,86.32,86.5,86.02,89.38,86.32,86.5,86.02,89.38,2.1407842453958503
80,"Boot Barn Holdings, Inc.",84.91,85.04,84.92,87.44,84.91,85.04,84.92,87.44,2.683086772210042
81,"Boston Properties, Inc.",62.55,63.02,62.13,64.84,62.55,63.02,62.13,64.84,1.878190277797425
82,"Braze, Inc.",51.11,51.19,50.97,52.99,51.11,51.19,50.97,52.99,1.67192503586117
83,"BridgeBio Pharma, Inc.",28.56,28.43,27.81,28.95,28.56,28.43,27.81,28.95,1.4410396508077388
84,"Brighthouse Financial, Inc.",47.11,47.44,47.11,48.61,47.11,47.44,47.11,48.61,1.2532529717848706
85,"Brinker International, Inc.",46.68,46.74,46.495,47.682,46.68,46.74,46.495,47.682,1.3295929196323804
86,The Brink's Company,85.21,85.47,84.7501,86.2325,85.21,85.47,84.7501,86.2325,1.6068054605393058
87,BRP Inc.,60.82,61.42,60.82,63.659,60.82,61.42,60.82,63.659,2.0442994895231448
88,Bruker Corporation,92.17,92.0,91.5101,93.09,92.17,92.0,91.5101,93.09,1.9252824803489905
89,Brunswick Corporation,89.42,89.16,89.6,92.1,89.42,89.16,89.6,92.1,2.1233962530363595
90,Bunge Global SA,97.0,97.76,96.53,97.805,97.0,97.76,96.53,97.805,2.171982046398485
